distance_km,elev_norseman_m,elev_hawaii_m
169.5,592.2670798442397,47.26089266266702
170.0,581.7245049095163,46.14098114718895
170.5,572.7402816695102,46.23224772276757
171.0,554.8059832879828,46.32351429834619
171.5,527.8198048074391,46.41478087392481
172.0,520.896869167136,46.62080218481779
172.5,502.1973685582328,47.591717504920545
173.0,481.6609089692577,44.897303341698006
173.5,477.24912353771833,42.202889178475466
174.0,466.2321256194528,39.508475015252934
174.5,458.41021198901655,36.814060852030394
175.0,443.8834338785607,35.63435332125793
175.5,421.2519667772517,29.973037484184314
176.0,399.5530660267348,27.64519642985876
176.5,387.0520375398102,27.4129095784216
177.0,373.73371322028714,27.180622726984446
177.5,356.8668805638246,26.948335875547286
178.0,336.3044594966977,27.87174160385272
178.5,327.0688833066147,24.221256571577026
179.0,318.0214085843812,19.250676024898503
179.5,315.5882701477343,16.251299757496557
180.0,296.80489340162296,20.77206291364398
180.5,290.0246104084246,25.2928260697914
181.0,279.9770462346248,29.81358922593882
181.5,263.5459690553287,27.243401673941307
182.0,242.6368039483848,22.692967687498186
182.5,220.1471610339013,19.42121667709718
183.0,211.37313607717422,12.190545423011647
183.5,198.32767761684488,10.521009575090646
184.0,198.2994005834561,5.456742533621364
184.5,199.29644432674044,10.623973375923857
185.0,197.11151007915575,11.335713196115826
185.5,201.21038953058275,11.368813384286918
186.0,199.48075262949095,3.343428379024517
186.5,205.94483436667997,5.3091792228074475
187.0,214.99915964606382,12.53506637036103
187.5,222.39766257458166,3.8855782750924917
188.0,241.3012138555354,12.300210036803499
188.5,243.42225507806177,15.232075565069062
189.0,237.3,8.4871987576814
189.5,229.71812112654013,2.911410397219231
190.0,222.61519593925226,2.4109009333935116
190.5,205.28749932728488,2.774411711941673
191.0,198.92760880880098,1.913982640800906
191.5,197.93256282236138,3.00380974180784
192.0,199.03782713819083,5.802690880228558
192.5,198.0856008436752,10.474534643691639
193.0,206.2073873916108,15.893792103907211
193.5,205.92254748163575,7.5943037116653676
194.0,203.94322314447103,4.355721649042505
194.5,203.0734970072482,10.546265306546275
195.0,201.68879753325365,3.131830439034014
195.5,202.86311212637912,11.170796892581453
